num_players,num_rounds,round_index,pairs
20,10,8,"(0,18);(1,8);(2,4);(3,15);(5,7);(6,12);(13,19);(16,17)"
20,10,9,"(0,12);(1,4);(2,10);(6,14);(7,11);(8,13);(9,17);(18,19)"
20,15,0,"(0,18);(1,4);(2,5);(6,15);(8,16);(9,12);(11,17);(13,19)"
20,15,1,"(0,6);(1,8);(3,14);(4,11);(7,19);(9,15);(10,17);(12,18)"
20,15,2,"(0,15);(1,11);(4,7);(5,13);(8,19);(9,17);(10,18);(14,16)"
20,15,3,"(0,11);(2,7);(3,10);(4,19);(5,6);(12,14);(13,18);(15,17)"
20,15,4,"(0,16);(2,8);(3,13);(4,6);(5,9);(7,12);(10,11);(14,15)"
20,15,5,"(0,9);(1,19);(3,11);(4,5);(6,16);(7,10);(8,17);(12,15)"
20,15,6,"(0,8);(1,5);(2,13);(3,6);(7,14);(9,18);(10,19);(12,16)"
20,15,7,"(1,12);(2,17);(3,9);(4,8);(5,19);(7,13);(10,14);(15,18)"
20,15,8,"(0,19);(1,9);(2,15);(3,4);(5,18);(6,12);(11,16);(14,17)"
20,15,9,"(0,10);(2,18);(3,12);(5,7);(6,17);(8,9);(11,14);(13,16)"
20,15,10,"(1,18);(2,14);(3,5);(4,16);(7,17);(9,19);(10,12);(13,15)"
20,15,11,"(1,3);(2,9);(5,12);(6,13);(7,16);(8,10);(11,15);(17,19)"
20,15,12,"(0,13);(1,17);(2,16);(4,14);(6,10);(7,8);(11,18);(12,19)"
20,15,13,"(0,17);(1,16);(2,4);(3,18);(5,15);(6,11);(8,13);(9,14)"
20,15,14,"(0,2);(1,14);(3,16);(4,10);(6,7);(8,15);(11,13);(18,19)"
20,20,0,"(0,4);(1,3);(5,18);(6,7);(9,19);(10,17);(11,14);(13,16)"
20,20,1,"(0,2);(1,11);(4,5);(7,9);(8,16);(12,14);(13,19);(15,18)"
20,20,2,"(0,7);(1,8);(2,13);(3,10);(4,6);(5,11);(12,16);(17,18)"
20,20,3,"(0,8);(1,5);(3,9);(4,14);(6,10);(7,12);(11,13);(15,16)"
